2,339,15
1002,4912,3376
2002,7626,6470
3002,9917,10498
4002,11770,14459
5002,19925,50447
6002,10774,25191
7002,14716,14591
8002,19743,13312
9002,7854,13573
10002,11268,13830
11002,8905,18484
12002,10409,16691
13002,7940,19073
14002,13471,19592
15002,12454,20403
16002,36531,22916
17002,22041,21120
18002,20043,24172
19002,20443,24621
20002,35821,32914
21002,21876,29315
22002,24186,30854
23002,18777,32522
24002,32854,34075
25002,22490,35896
26002,29912,37257
27002,38353,38779
28002,32487,39978
29002,19702,52120
30002,27920,45430
31002,26493,47990
32002,34962,47602
33002,26157,46828
34002,90885,52223
35002,32845,51418
36002,24955,51190
37002,40901,54379
38002,54253,56369
39002,45846,57570
40002,38086,55951
41002,34882,58670
42002,50675,62278
43002,40456,66780
44002,29771,68382
45002,54114,66394
46002,55584,79399
47002,49008,69574
48002,54014,78741
49002,65568,79207
50002,46555,75869
51002,63451,74771
52002,53147,78670
53002,48329,109979
54002,80337,101514
55002,90496,110787
56002,80191,149451
57002,49346,88338
58002,35306,90892
59002,63430,117781
60002,49220,90226
61002,47547,91268
62002,74316,92730
63002,74038,94606
64002,60362,101028
65002,64907,97997
66002,47890,102124
67002,44306,102508
68002,41137,102337
69002,80881,104640
70002,74434,105838
71002,46020,108655
72002,46791,108891
73002,54902,109546
74002,81916,117500
75002,69712,114826
76002,65117,116857
77002,84084,117661
78002,59075,119586
79002,51599,126134
80002,78020,124066
81002,71716,127824
82002,66075,125594
83002,101606,129110
84002,68903,133002
85002,90768,131509
86002,107675,131107
87002,86222,137675
88002,86766,139632
89002,102400,136048
90002,55420,142117
91002,76206,142856
92002,95027,142747
93002,62510,147414
94002,70591,146436
95002,101017,147880
96002,102160,162483
97002,106662,155338
98002,81130,153242
99002,69391,152687
100002,143687,155813
101002,82367,156065
102002,89095,158701
103002,106029,160292
104002,125100,162190
105002,145462,163004
106002,91762,169962
107002,85949,165501
108002,82157,175892
109002,99697,179722
110002,82007,172237
111002,105975,173800
112002,85492,175728
113002,80754,190187
114002,89804,179821
115002,85563,181850
116002,85938,182719
117002,110343,185477
118002,106091,186599
119002,94468,192059
120002,104694,186762
121002,69270,187388
122002,82501,194042
123002,79856,192855
124002,110496,193325
125002,113929,206569
126002,89163,196867
127002,96754,198808
128002,130228,207133
129002,128106,200922
130002,87213,206890
131002,141972,205533
132002,98423,207887
133002,110783,207011
134002,101823,214378
135002,163185,218323
136002,86595,212454
137002,167009,225039
138002,134344,216324
139002,103902,220440
140002,93033,226464
141002,98790,220929
142002,111349,226066
143002,136471,225067
144002,128891,226621
145002,121032,231819
146002,195893,228219
147002,121287,236142
148002,168786,232563
149002,207867,232256
150002,134379,236559
151002,168807,238111
152002,114757,249653
153002,100880,292448
154002,111979,244237
155002,95531,246866
156002,135274,251412
157002,141861,247740
158002,104696,254367
159002,101227,257944
160002,122662,252957
161002,108580,257666
162002,116591,258852
163002,163275,260230
164002,125916,262999
165002,111218,260799
166002,196255,267420
167002,119764,263994
168002,160587,266024
169002,222205,279118
170002,177635,276666
171002,129582,282996
172002,119794,279214
173002,115154,286083
174002,278137,305853
175002,141911,278535
176002,236330,280647
177002,118708,282213
178002,106401,321457
179002,205807,284572
180002,161686,285680
181002,154851,286733
182002,209088,292247
183002,148659,298951
184002,249883,294157
185002,191312,294889
186002,219596,296321
187002,117739,308869
188002,118623,303290
189002,140253,306762
190002,139327,302824
191002,216353,309269
192002,119345,307207
193002,146935,355563
194002,188569,311971
195002,208908,317312
196002,194414,315922
197002,161448,322699
198002,176043,320128
199002,212225,318423
200002,160969,324351
201002,183284,324671
202002,156505,332947
203002,241389,358773
204002,169185,343250
205002,176668,329323
206002,164445,329309
207002,186508,332808
208002,152496,334870
209002,182944,335309
210002,178465,338585
211002,140397,343939
212002,183769,346231
213002,162095,342354
214002,215931,354740
215002,199480,347749
216002,184930,346841
217002,195367,352286
218002,218919,350933
219002,197283,350384
220002,202755,363266
221002,253985,356202
222002,143978,357419
223002,184780,360576
224002,215637,361986
225002,181507,364321
226002,193914,366854
227002,216856,367942
228002,253018,369689
229002,173110,371703
230002,175148,372275
231002,191321,374213
232002,188634,377754
233002,250488,381129
234002,230004,382459
235002,251588,381922
236002,149704,383203
237002,178814,391892
238002,203805,384822
239002,236890,388318
240002,198599,403508
241002,223203,394160
242002,200665,398607
243002,214518,409645
244002,296379,396105
245002,269978,398542
246002,231387,402705
247002,187102,401994
248002,216693,400641
249002,243789,404990
250002,247689,412220
251002,150411,414154
252002,208169,423876
253002,286266,431644
254002,250144,416341
255002,175467,416833
256002,260548,419091
257002,238493,413927
258002,237415,420783
259002,245386,421530
260002,202177,429112
261002,220368,433501
262002,358988,424852
263002,285413,430600
264002,220396,432601
265002,221995,439455
266002,177873,461558
267002,243106,438728
268002,277410,443584
269002,260002,465305
270002,211145,450082
